week,category,weekly_rank,show_title,season_title,weekly_hours_viewed,runtime,weekly_views,cumulative_weeks_in_top_10,is_staggered_launch,episode_launch_details,gender
2024-05-26,TV (Non-English),6,The Atypical Family,The Atypical Family: Limited Series,12200000,0.0,1600000.0,3,True,"[{""episodesLaunched"":2,""countryList"":[""UY"",""BO"",""BR"",""CR"",""HN"",""CO"",""CL"",""GT"",""CU"",""VE"",""DO"",""PR"",""NI"",""PE"",""AR"",""BZ"",""GQ"",""SV"",""EC"",""PA"",""MX"",""PY""]},{""episodesLaunched"":7,""countryList"":[""KI"",""NZ"",""MM"",""KR"",""MN"",""ID"",""LA"",""BD"",""LK"",""CX"",""PF"",""VU"",""MV"",""NR"",""KH"",""TK"",""IN"",""UM"",""BT"",""VN"",""CC"",""AU"",""NP"",""NU"",""SG"",""TL"",""FJ"",""TO"",""MY"",""TV"",""CK"",""JP"",""PG"",""NC"",""PH"",""NF"",""BN"",""TW"",""WF"",""HK"",""WS"",""PN"",""SB"",""MO"",""TH""]},{""episodesLaunched"":8,""countryList"":[""NA"",""YT"",""MS"",""IR"",""FI"",""BE"",""GI"",""AQ"",""RW"",""ST"",""IE"",""BM"",""GH"",""GW"",""MG"",""SS"",""IT"",""AF"",""HM"",""KN"",""IQ"",""LB"",""TG"",""ZW"",""MU"",""SX"",""IM"",""LC"",""IL"",""NE"",""YE"",""CA"",""BW"",""ZM"",""RE"",""BF"",""CH"",""KY"",""DE"",""MT"",""AS"",""AO"",""PK"",""CZ"",""CG"",""TN"",""FO"",""SL"",""UA"",""SR"",""KM"",""TJ"",""KW"",""ME"",""SO"",""SZ"",""NO"",""NG"",""FR"",""MZ"",""RU"",""GA"",""SM"",""UZ"",""IO"",""PW"",""LI"",""EH"",""BA"",""SE"",""CV"",""SA"",""TM"",""GU"",""CM"",""VC"",""HT"",""OM"",""LV"",""TT"",""GN"",""LR"",""AE"",""GG"",""BG"",""GM"",""DM"",""GE"",""RO"",""SH"",""FM"",""MP"",""LY"",""TD"",""AW"",""JO"",""KG"",""JE"",""HR"",""BJ"",""PL"",""SK"",""NL"",""PS"",""AM"",""ZA"",""GL"",""MH"",""KZ"",""SD"",""DK"",""QA"",""AZ"",""CI"",""GY"",""MW"",""CD"",""MA"",""SN"",""MD"",""EE"",""DZ"",""BQ"",""AI"",""MK"",""ER"",""BB"",""BI"",""MQ"",""AL"",""LT"",""JM"",""MR"",""GF"",""BH"",""AG"",""PT"",""FK"",""GB"",""HU"",""ET"",""US"",""ML"",""ES"",""GS"",""LU"",""PM"",""CF"",""RS"",""IS"",""GR"",""TZ"",""KE"",""GD"",""VI"",""VA"",""BS"",""TR"",""BY"",""EG"",""BL"",""MF"",""VG"",""TC"",""DJ"",""MC"",""AT"",""GP"",""CW"",""CY"",""LS"",""SI"",""UG"",""AD"",""SC""]}]","Action, Drama, Fantasy"
2024-05-26,TV (Non-English),7,Heeramandi: The Diamond Bazaar,Heeramandi: The Diamond Bazaar: Season 1,11300000,7.3167,1500000.0,4,False,,"Drama, History, Romance"
2024-05-26,TV (Non-English),8,Queen of Tears,Queen of Tears: Limited Series,30700000,23.3667,1300000.0,12,False,,"Drama, Family, Romance"
2024-05-26,TV (Non-English),9,Garouden: The Way of the Lone Wolf,Garouden: The Way of the Lone Wolf: Season 1,4000000,3.45,1200000.0,1,False,,"Action, Animation, Fantasy"
2024-05-26,TV (Non-English),10,Maestro in Blue,Maestro in Blue: Season 2,6200000,6.5667,900000.0,1,False,,Drama
2024-05-19,Films (English),1,Mother of the Bride,,38100000,1.5,25400000.0,2,False,,"Comedy, Drama, Romance"
2024-05-19,Films (English),2,Madame Web,,20800000,1.9333,10800000.0,1,False,,"Action, Adventure, Sci-Fi"
2024-05-19,Films (English),3,Disturbia,,13500000,1.75,7700000.0,1,False,,"Crime, Drama, Mystery"
2024-05-19,Films (English),4,Thelma the Unicorn,,12000000,1.6333,7300000.0,1,False,,"Animation, Adventure, Comedy"
2024-05-19,Films (English),5,Shrek,,7700000,1.5,5100000.0,10,False,,"Animation, Adventure, Comedy"
2024-05-19,Films (English),6,Upgrade,,4900000,1.6667,2900000.0,1,False,,"Action, Sci-Fi, Thriller"
2024-05-19,Films (English),7,Sonic the Hedgehog,,4600000,1.6833,2700000.0,9,False,,"Action, Adventure, Comedy"
2024-05-19,Films (English),8,The Boss Baby,,4100000,1.6333,2500000.0,14,False,,"Animation, Adventure, Comedy"
2024-05-19,Films (English),9,Unfrosted,,4000000,1.6,2500000.0,3,False,,"Biography, Comedy, History"
2024-05-19,Films (English),10,Smile,,4700000,1.9333,2400000.0,1,False,,"Horror, Mystery, Thriller"
2024-05-19,Films (Non-English),1,The Courier,,19100000,1.7,11200000.0,2,False,,"Drama, History, Mystery"
2024-05-19,Films (Non-English),2,Partiu América,,5800000,1.6833,3400000.0,1,False,,Comedy
2024-05-19,Films (Non-English),3,Monster,,4700000,1.4167,3300000.0,1,False,,"Biography, Crime, Drama"
2024-05-19,Films (Non-English),4,Shaitaan,,6800000,2.1333,3200000.0,3,False,,"Horror, Thriller"
