semana,categoria,rank_semanal,titulo,horas_semanais_visualizadas,semanas_acumuladas_top_10,lançamento_escalonado,genero,ano,mes
2024-05-19,TV (English),2,"Ashley Madison: Sex, Lies & Scandal",24600000,1,False,"Documentary, Crime, History",2024,maio
2024-05-19,TV (English),3,Baby Reindeer,29500000,6,False,"Biography, Drama",2024,maio
2024-05-19,TV (English),4,Bridgerton,37300000,10,False,"Drama, Romance",2024,maio
2024-05-19,TV (English),5,Kevin Hart: The Kennedy Center Mark Twain Prize for American Humor,5400000,1,False,Comedy,2024,maio
2024-05-19,TV (English),6,Bodkin,23300000,2,False,"Comedy, Drama, Thriller",2024,maio
2024-05-19,TV (English),7,The Roast of Tom Brady,10500000,3,False,Comedy,2024,maio
2024-05-19,TV (English),8,Bridgerton,27700000,16,False,"Drama, Romance",2024,maio
2024-05-19,TV (English),9,A Man in Full,10900000,3,False,Drama,2024,maio
2024-05-19,TV (English),10,Blood of Zeus,7400000,1,False,"Animation, Action, Adventure",2024,maio
2024-05-19,TV (Non-English),1,Demon Slayer: Kimetsu no Yaiba,4400000,1,False,"Animation, Action, Adventure",2024,maio
2024-05-19,TV (Non-English),2,"Thank You, Next",29900000,2,False,"Short, Comedy",2024,maio
2024-05-19,TV (Non-English),3,Cooking Up Murder: Uncovering the Story of César Román,7100000,2,False,Documentary,2024,maio
2024-05-19,TV (Non-English),4,The Asunta Case,15300000,4,False,"Biography, Crime, Drama",2024,maio
2024-05-19,TV (Non-English),5,Heeramandi: The Diamond Bazaar,17300000,3,False,"Drama, History, Romance",2024,maio
2024-05-19,TV (Non-English),6,Queen of Tears,43100000,11,False,"Drama, Family, Romance",2024,maio
2024-05-19,TV (Non-English),7,The 8 Show,11900000,1,False,"Comedy, Drama, Mystery",2024,maio
2024-05-19,TV (Non-English),8,The Atypical Family,9800000,2,True,"Action, Drama, Fantasy",2024,maio
2024-05-19,TV (Non-English),9,Kaiju No. 8,1900000,1,False,"Animation, Action, Adventure",2024,maio
